FILE,LABEL,VALUE
calculation,to,loc_us-gaap_LongTermDebt_790633f9-040a-4a95-94b1-f5e021bebad5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesCurrent_f8bcdfac-b01c-49c5-ac7d-db20c95794ca
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccountsPayableCurrent_e37b6956-7875-4eec-be46-e1bef49ea537
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsPayableCurrent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_f8bcdfac-b01c-49c5-ac7d-db20c95794ca
calculation,to,loc_us-gaap_AccountsPayableCurrent_e37b6956-7875-4eec-be46-e1bef49ea537
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccruedLiabilitiesCurrent_58934b6b-24a0-45e4-96a0-1bf16b89ef78
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccruedLiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_f8bcdfac-b01c-49c5-ac7d-db20c95794ca
calculation,to,loc_us-gaap_AccruedLiabilitiesCurrent_58934b6b-24a0-45e4-96a0-1bf16b89ef78
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LongTermDebtCurrent_10b1677b-a742-4a7e-9d48-3a5212bad917
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LongTermDebtCurrent
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_f8bcdfac-b01c-49c5-ac7d-db20c95794ca
calculation,to,loc_us-gaap_LongTermDebtCurrent_10b1677b-a742-4a7e-9d48-3a5212bad917
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherLiabilitiesCurrent_0779cf3b-b19a-473c-8bbc-2675c5156b5d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherLiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_f8bcdfac-b01c-49c5-ac7d-db20c95794ca
calculation,to,loc_us-gaap_OtherLiabilitiesCurrent_0779cf3b-b19a-473c-8bbc-2675c5156b5d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_StockholdersEquity_d68d1867-2725-4ecd-b0e6-6bddce904f62
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_StockholdersEquity
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CommonStocksIncludingAdditionalPaidInCapital_0f6b274e-659c-4125-af52-7907d8341ad0
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CommonStocksIncludingAdditionalPaidInCapital
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_d68d1867-2725-4ecd-b0e6-6bddce904f62
calculation,to,loc_us-gaap_CommonStocksIncludingAdditionalPaidInCapital_0f6b274e-659c-4125-af52-7907d8341ad0
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_6bb5174f-40a4-4268-87ba-2732c2d497cb
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_d68d1867-2725-4ecd-b0e6-6bddce904f62
calculation,to,loc_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax_6bb5174f-40a4-4268-87ba-2732c2d497cb
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_RetainedEarningsAccumulatedDeficit_15f41609-afd8-4b73-aa75-0c88fba2deb5
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_RetainedEarningsAccumulatedDeficit
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_StockholdersEquity_d68d1867-2725-4ecd-b0e6-6bddce904f62
calculation,to,loc_us-gaap_RetainedEarningsAccumulatedDeficit_15f41609-afd8-4b73-aa75-0c88fba2deb5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesAndStockholdersEquity_2b6b2052-e818-4208-a207-c71cce8f4eba
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesAndStockholdersEquity
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Liabilities_4d43f274-3d92-4cc3-ac64-82418e5050b1
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Liabilities
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_2b6b2052-e818-4208-a207-c71cce8f4eba
calculation,to,loc_us-gaap_Liabilities_4d43f274-3d92-4cc3-ac64-82418e5050b1
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_StockholdersEquity_a0044eb1-9585-43a6-8f47-0317dc065685
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_StockholdersEquity
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_2b6b2052-e818-4208-a207-c71cce8f4eba
calculation,to,loc_us-gaap_StockholdersEquity_a0044eb1-9585-43a6-8f47-0317dc065685
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_GrossProfit_c1bc2a14-1db4-41ce-b1f8-593f1779bc03
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_GrossProfit
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_066008ae-ab1b-46a3-a878-55e02c9b7d2e
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_GrossProfit_7be6bf5f-0bb9-4cfd-991e-daa8a623cffd
